Time,Time,Resistance tube,Resistance surface,Temperature tube,Temperature surface
1,17:00:12,11006.16,10460.0,22.814273932586573,23.978337042444952
2,17:00:13,11006.16,10460.0,22.814273932586573,23.978337042444952
3,17:00:14,10963.11,10460.0,22.902270796788066,23.978337042444952
4,17:00:15,10963.11,10460.0,22.902270796788066,23.978337042444952
5,17:00:16,10963.11,10460.0,22.902270796788066,23.978337042444952
6,17:00:17,10963.11,10460.0,22.902270796788066,23.978337042444952
7,17:00:18,10963.11,10460.0,22.902270796788066,23.978337042444952
8,17:00:19,10963.11,10460.0,22.902270796788066,23.978337042444952
9,17:00:20,10963.11,10460.0,22.902270796788066,23.978337042444952
10,17:00:21,10920.25,10460.0,22.99028733531389,23.978337042444952
11,17:00:22,10920.25,10460.0,22.99028733531389,23.978337042444952
12,17:00:23,10920.25,10460.0,22.99028733531389,23.978337042444952
13,17:00:24,10920.25,10460.0,22.99028733531389,23.978337042444952
14,17:00:25,10920.25,10460.0,22.99028733531389,23.978337042444952
15,17:00:26,10920.25,10460.0,22.99028733531389,23.978337042444952
16,17:00:27,10877.55,10460.0,23.078384199471895,23.978337042444952
17,17:00:28,10877.55,10460.0,23.078384199471895,23.978337042444952
18,17:00:29,10877.55,10460.0,23.078384199471895,23.978337042444952
19,17:00:30,10920.25,10460.0,22.99028733531389,23.978337042444952
20,17:00:31,10877.55,10460.0,23.078384199471895,23.978337042444952
21,17:00:32,10877.55,10460.0,23.078384199471895,23.978337042444952
22,17:00:33,10835.03,10460.0,23.166519234929684,23.978337042444952
23,17:00:34,10877.55,10460.0,23.078384199471895,23.978337042444952
24,17:00:35,10877.55,10460.0,23.078384199471895,23.978337042444952
25,17:00:36,10835.03,10460.0,23.166519234929684,23.978337042444952
26,17:00:37,10835.03,10460.0,23.166519234929684,23.978337042444952
27,17:00:38,10835.03,10460.0,23.166519234929684,23.978337042444952
28,17:00:39,10792.68,10460.0,23.254712058030744,23.978337042444952
29,17:00:40,10792.68,10460.0,23.254712058030744,23.978337042444952
30,17:00:41,10835.03,10460.0,23.166519234929684,23.978337042444952
31,17:00:42,10792.68,10460.0,23.254712058030744,23.978337042444952
32,17:00:43,10792.68,10460.0,23.254712058030744,23.978337042444952
33,17:00:44,10792.68,10460.0,23.254712058030744,23.978337042444952
34,17:00:45,10792.68,10460.0,23.254712058030744,23.978337042444952
35,17:00:46,10792.68,10501.0,23.254712058030744,23.889762818974173
36,17:00:47,10792.68,10501.0,23.254712058030744,23.889762818974173
37,17:00:48,10792.68,10460.0,23.254712058030744,23.978337042444952
38,17:00:49,10750.51,10501.0,23.342940655661565,23.889762818974173
39,17:00:50,10750.51,10501.0,23.342940655661565,23.889762818974173
40,17:00:51,10750.51,10460.0,23.342940655661565,23.978337042444952
41,17:00:52,10708.5,10501.0,23.431245755776818,23.889762818974173
42,17:00:53,10501.0,10501.0,23.87356158532295,23.889762818974173
43,17:00:54,10098.23,10501.0,24.76269886252058,23.889762818974173
44,17:00:55,9560.23,10501.0,26.0183109015166,23.889762818974173
45,17:00:56,9050.28,10501.0,27.286853272387653,23.889762818974173
46,17:00:57,8532.61,10501.0,28.659784809569743,23.889762818974173
47,17:00:58,8042.33,10542.17,30.04564515771118,23.80121294320846
48,17:00:59,7577.32,10542.17,31.445353198627608,23.80121294320846
49,17:01:00,7135.68,10542.17,32.86794046559121,23.80121294320846
50,17:01:01,6743.04,10542.17,34.22311994712599,23.80121294320846
51,17:01:02,6394.23,10542.17,35.50859934372141,23.80121294320846
52,17:01:03,6084.91,10542.17,36.719875550064764,23.80121294320846
53,17:01:04,5787.04,10542.17,37.95544142396589,23.80121294320846
54,17:01:05,5523.52,10583.5,39.10935231057633,23.712709599573714
55,17:01:06,5268.66,10583.5,40.28327190824033,23.712709599573714
56,17:01:07,5044.12,10583.5,41.36925419273445,23.712709599573714
57,17:01:08,4847.61,10583.5,42.36549105341138,23.712709599573714
58,17:01:09,4635.19,10583.5,43.496864482448956,23.712709599573714
59,17:01:10,4490.08,10583.5,44.30560432398164,23.712709599573714
60,17:01:11,4307.69,10583.5,45.36714707853719,23.712709599573714
61,17:01:12,4149.38,10583.5,46.33223572314399,23.712709599573714
62,17:01:13,4013.7,10583.5,47.19388367295766,23.712709599573714
63,17:01:14,3880.6,10583.5,48.07187312414908,23.712709599573714
64,17:01:15,3731.54,10583.5,49.09565229396736,23.712709599573714
65,17:01:16,3621.84,10583.5,49.877726858346115,23.712709599573714
66,17:01:17,3478.26,10583.5,50.940296402743016,23.712709599573714
67,17:01:18,3372.55,10583.5,51.75410342764036,23.712709599573714
68,17:01:19,3251.3,10583.5,52.72454566720169,23.712709599573714
69,17:01:20,3132.22,10542.17,53.720092491031664,23.80121294320846
70,17:01:21,3031.85,10583.5,54.59493266433369,23.712709599573714
71,17:01:22,2933.0,10583.5,55.49098340296184,23.712709599573714
72,17:01:23,2835.63,10542.17,56.40933534093833,23.80121294320846
73,17:01:24,2755.61,10583.5,57.19216664198946,23.712709599573714
74,17:01:25,2660.89,10583.5,58.15340845357971,23.712709599573714
75,17:01:26,2583.03,10583.5,58.973010183062804,23.712709599573714
76,17:01:27,2521.42,10583.5,59.641204635070764,23.712709599573714
77,17:01:28,2460.41,10583.5,60.32062387925702,23.712709599573714
78,17:01:29,2384.99,10583.5,61.18659519576388,23.712709599573714
79,17:01:30,2310.47,10583.5,62.07343248265489,23.712709599573714
80,17:01:31,2266.19,10583.5,62.61634732744393,23.712709599573714
81,17:01:32,2193.09,10583.5,63.54068341022453,23.712709599573714
