Date,Time,Courbes.CMdebit,Courbes.CCDebitD,Courbes.CMPression,Courbes.CMVolConsomme
2023/02/08,13:21:30,0.4852,0.5000,25.12,10.001
2023/02/08,13:21:32,0.4893,0.5000,25.13,10.019
2023/02/08,13:21:34,0.5112,0.5000,25.12,10.035
2023/02/08,13:21:36,0.4982,0.5000,25.09,10.051
2023/02/08,13:21:38,0.5091,0.5000,25.29,10.070
2023/02/08,13:21:40,0.5223,0.5000,25.32,10.086
2023/02/08,13:21:42,0.5020,0.5000,25.35,10.100
2023/02/08,13:21:44,0.4910,0.5000,25.38,10.119
2023/02/08,13:21:46,0.4723,0.5000,25.19,10.135
2023/02/08,13:21:48,0.5136,0.5000,25.16,10.151
2023/02/08,13:21:50,0.5096,0.5000,25.17,10.170
2023/02/08,13:21:52,0.5051,0.5000,25.19,10.184
2023/02/08,13:21:54,0.4870,0.5000,25.19,10.202
2023/02/08,13:21:56,0.5219,0.5000,25.23,10.219
2023/02/08,13:21:58,0.4827,0.5000,25.14,10.235
2023/02/08,13:22:00,0.4951,0.5000,25.16,10.252
2023/02/08,13:22:02,0.5140,0.5000,25.27,10.268
2023/02/08,13:22:04,0.4930,0.5000,25.23,10.284
2023/02/08,13:22:06,0.5242,0.5000,25.24,10.303
2023/02/08,13:22:08,0.5070,0.5000,25.23,10.319
2023/02/08,13:22:10,0.5072,0.5000,25.19,10.335
2023/02/08,13:22:12,0.4987,0.5000,25.39,10.351
2023/02/08,13:22:14,0.5186,0.5000,25.21,10.367
2023/02/08,13:22:16,0.5071,0.5000,25.31,10.386
2023/02/08,13:22:18,0.4920,0.5000,25.30,10.402
2023/02/08,13:22:20,0.5178,0.5000,25.17,10.419
2023/02/08,13:22:22,0.4884,0.5000,25.21,10.435
2023/02/08,13:22:24,0.5020,0.5000,25.32,10.452
2023/02/08,13:22:26,0.5075,0.5000,25.27,10.468
2023/02/08,13:22:28,0.4745,0.5000,25.19,10.486
2023/02/08,13:22:30,0.4881,0.5000,25.42,10.503
2023/02/08,13:22:32,0.5336,0.5000,25.22,10.517
2023/02/08,13:22:34,0.5091,0.5000,25.25,10.535
2023/02/08,13:22:36,0.4790,0.5000,25.25,10.552
2023/02/08,13:22:38,0.4854,0.5000,25.27,10.568
2023/02/08,13:22:40,4.9794,5.0000,25.32,10.596
2023/02/08,13:22:42,5.0023,5.0000,25.37,10.760
2023/02/08,13:22:44,5.0475,5.0000,25.39,10.937
2023/02/08,13:22:46,5.0191,5.0000,25.31,11.098
2023/02/08,13:22:48,5.0184,5.0000,25.47,11.261
2023/02/08,13:22:50,4.9876,5.0000,25.40,11.422
2023/02/08,13:22:52,4.9937,5.0000,25.33,11.599
2023/02/08,13:22:54,5.0162,5.0000,25.41,11.761
2023/02/08,13:22:56,5.0033,5.0000,25.30,11.924
2023/02/08,13:22:58,4.9724,5.0000,25.19,12.100
2023/02/08,13:23:00,5.0375,5.0000,25.35,12.263
2023/02/08,13:23:02,5.0102,5.0000,25.55,12.425
2023/02/08,13:23:04,5.0386,5.0000,25.58,12.600
2023/02/08,13:23:06,4.9907,5.0000,25.56,12.763
2023/02/08,13:23:08,5.0482,5.0000,25.45,12.924
2023/02/08,13:23:10,5.0133,5.0000,25.66,13.102
2023/02/08,13:23:12,5.0142,5.0000,25.40,13.257
2023/02/08,13:23:14,9.9804,10.0000,25.56,13.537
2023/02/08,13:23:16,9.9631,10.0000,25.60,13.860
2023/02/08,13:23:18,10.0184,10.0000,25.53,14.214
2023/02/08,13:23:20,10.0193,10.0000,25.66,14.539
2023/02/08,13:23:22,9.9939,10.0000,25.56,14.864
2023/02/08,13:23:24,10.0182,10.0000,25.59,15.214
2023/02/08,13:23:26,10.0144,10.0000,25.73,15.539
2023/02/08,13:23:28,10.0495,10.0000,25.73,15.862
2023/02/08,13:23:30,9.9919,10.0000,25.71,16.212
2023/02/08,13:23:32,10.0113,10.0000,25.93,16.539
2023/02/08,13:23:34,9.9949,10.0000,25.98,16.862
2023/02/08,13:23:36,10.0592,10.0000,25.71,17.215
2023/02/08,13:23:38,10.0146,10.0000,25.90,17.539
2023/02/08,13:23:40,9.9646,10.0000,26.05,17.860
2023/02/08,13:23:42,10.0016,10.0000,26.01,18.210
2023/02/08,13:23:44,9.9842,10.0000,25.96,18.537
2023/02/08,13:23:46,9.9969,10.0000,26.07,18.860
2023/02/08,13:23:48,9.9693,10.0000,26.10,19.212
2023/02/08,13:23:50,9.9868,10.0000,26.07,19.532
2023/02/08,13:23:52,9.9879,10.0000,26.11,19.855
2023/02/08,13:23:54,10.0309,10.0000,26.11,20.207
2023/02/08,13:23:56,10.0007,10.0000,26.11,20.560
2023/02/08,13:23:58,9.9181,10.0000,26.11,20.879
2023/02/08,13:24:00,10.0227,10.0000,26.11,21.204
2023/02/08,13:24:02,10.0011,10.0000,26.11,21.554
2023/02/08,13:24:04,10.0200,10.0000,26.13,21.874
2023/02/08,13:24:06,10.0319,10.0000,26.13,22.197
2023/02/08,13:24:08,10.0592,10.0000,26.14,22.547
2023/02/08,13:24:10,10.0306,10.0000,26.15,22.867
2023/02/08,13:24:12,9.9980,10.0000,26.15,23.217
2023/02/08,13:24:14,10.0328,10.0000,26.16,23.537
2023/02/08,13:24:16,10.0191,10.0000,26.15,23.857
2023/02/08,13:24:18,10.0033,10.0000,26.16,24.209
2023/02/08,13:24:20,10.0121,10.0000,26.17,24.559
2023/02/08,13:24:22,9.9892,10.0000,26.16,24.880
2023/02/08,13:24:24,9.9228,10.0000,26.15,25.207
2023/02/08,13:24:26,10.0079,10.0000,26.18,25.529
2023/02/08,13:24:28,10.0277,10.0000,26.19,25.882
2023/02/08,13:24:30,10.0501,10.0000,26.20,26.204
2023/02/08,13:24:32,9.9623,10.0000,26.22,26.525
2023/02/08,13:24:34,9.9719,10.0000,26.21,26.875
2023/02/08,13:24:36,10.0295,10.0000,26.27,27.195
2023/02/08,13:24:38,10.0040,10.0000,26.44,27.549
2023/02/08,13:24:40,9.9564,10.0000,26.35,27.872
2023/02/08,13:24:42,9.9963,10.0000,26.63,28.224
2023/02/08,13:24:44,9.9588,10.0000,26.72,28.549
2023/02/08,13:24:46,10.0389,10.0000,26.66,28.872
2023/02/08,13:24:48,10.0717,10.0000,26.83,29.222
2023/02/08,13:24:50,10.0460,10.0000,26.94,29.549
2023/02/08,13:24:52,10.0363,10.0000,27.04,29.872
2023/02/08,13:24:54,10.0353,10.0000,27.14,30.224
2023/02/08,13:24:56,10.0733,10.0000,27.22,30.547
2023/02/08,13:24:58,10.0097,10.0000,27.22,30.872
2023/02/08,13:25:00,10.0067,10.0000,27.27,31.222
2023/02/08,13:25:02,10.0227,10.0000,27.31,31.542
2023/02/08,13:25:04,9.9942,10.0000,27.33,31.859
2023/02/08,13:25:06,9.9783,10.0000,27.32,32.205
2023/02/08,13:25:08,9.9860,10.0000,27.44,32.530
2023/02/08,13:25:10,10.0020,10.0000,27.52,32.880
2023/02/08,13:25:12,9.9417,10.0000,27.63,33.204
2023/02/08,13:25:14,10.0156,10.0000,27.69,33.555
2023/02/08,13:25:16,10.0605,10.0000,27.93,33.880
2023/02/08,13:25:18,10.0172,10.0000,28.21,34.202
2023/02/08,13:25:20,10.0503,10.0000,28.36,34.527
2023/02/08,13:25:22,10.0718,10.0000,28.46,34.879
2023/02/08,13:25:24,10.0051,10.0000,28.47,35.199
2023/02/08,13:25:26,10.0023,10.0000,28.51,35.544
2023/02/08,13:25:28,10.0150,10.0000,28.52,35.867
2023/02/08,13:25:30,9.9093,10.0000,28.58,36.190
2023/02/08,13:25:32,10.0370,10.0000,29.05,36.544
2023/02/08,13:25:34,9.9435,10.0000,29.59,36.867
2023/02/08,13:25:36,9.9508,10.0000,29.66,37.189
2023/02/08,13:25:38,9.9960,10.0000,29.74,37.540
2023/02/08,13:25:40,9.9998,10.0000,30.11,37.894
2023/02/08,13:25:42,10.0104,10.0000,30.71,38.187
2023/02/08,13:25:44,10.0167,10.0000,30.81,38.539
2023/02/08,13:25:46,9.9301,10.0000,30.98,38.880
2023/02/08,13:25:48,9.9655,10.0000,31.84,39.205
2023/02/08,13:25:50,9.9467,10.0000,32.08,39.530
2023/02/08,13:25:52,10.0002,10.0000,33.09,39.882
2023/02/08,13:25:54,10.0186,10.0000,33.31,40.200
2023/02/08,13:25:56,10.0144,10.0000,34.31,40.522
2023/02/08,13:25:58,9.9968,10.0000,35.50,40.875
2023/02/08,13:26:00,10.0231,10.0000,39.07,41.199
2023/02/08,13:59:35,0.0000,0.0000,25.77,0.000
2023/02/08,13:59:37,0.0000,0.0000,25.73,0.000
2023/02/08,13:59:39,0.0000,0.0000,25.68,0.000
2023/02/08,13:59:41,0.0000,0.0000,25.67,0.000
2023/02/08,13:59:43,0.0000,5.0000,25.72,0.000
2023/02/08,13:59:45,4.9870,5.0000,25.64,0.038
2023/02/08,13:59:47,5.0216,5.0000,25.67,0.205
2023/02/08,13:59:49,5.0061,5.0000,25.77,0.372
2023/02/08,13:59:51,5.0101,5.0000,25.69,0.539
2023/02/08,13:59:53,4.9930,5.0000,25.70,0.708
2023/02/08,13:59:55,5.0030,5.0000,25.69,0.876
2023/02/08,13:59:57,5.0097,5.0000,25.72,1.042
2023/02/08,13:59:59,5.0056,5.0000,25.72,1.207
2023/02/08,14:00:01,4.9723,5.0000,25.77,1.369
2023/02/08,14:00:03,5.0102,5.0000,25.75,1.536
2023/02/08,14:00:05,5.0115,5.0000,25.75,1.699
2023/02/08,14:00:07,5.0212,5.0000,25.64,1.865
2023/02/08,14:00:09,4.9966,5.0000,25.72,2.032
2023/02/08,14:00:11,5.0336,5.0000,25.81,2.194
2023/02/08,14:00:13,5.0059,5.0000,25.62,2.380
2023/02/08,14:00:15,4.9744,5.0000,25.75,2.527
2023/02/08,14:00:17,4.9949,5.0000,25.97,2.711
2023/02/08,14:00:19,5.0001,5.0000,25.77,2.877
2023/02/08,14:00:21,4.9612,5.0000,25.77,3.043
2023/02/08,14:00:23,4.9904,5.0000,25.71,3.209
2023/02/08,14:00:25,5.0218,5.0000,25.68,3.375
2023/02/08,14:00:27,4.9895,5.0000,25.82,3.546
